Tỉnh;Tổng số ca lây nhiễm;Số ca lây nhiễm mới;Tổng số ca tử vong;Ngày
Hồ Chí Minh;112215;2563;2105;08-06-2021
Bình Dương;22689;322;144;08-06-2021
Long An;8451;286;84;08-06-2021
Đồng Nai;6347;207;39;08-06-2021
Bắc Giang;5820;0;13;08-06-2021
Khánh Hòa;3214;53;81;08-06-2021
Đồng Tháp;2.96;0;24;08-06-2021
Tiền Giang;2770;253;75;08-06-2021
Tây Ninh;2377;0;1;08-06-2021
Hà Nội;2069;1;25;08-06-2021
Bà Rịa - Vũng Tàu;1853;77;42;08-06-2021
Đà Nẵng;1759;0;13;08-06-2021
Cần Thơ;1718;0;2;08-06-2021
Phú Yên;1595;27;0;08-06-2021
Bắc Ninh;1469;0;6;08-06-2021
Vĩnh Long;1155;63;16;08-06-2021
Bình Thuận;993;0;3;08-06-2021
Bến Tre;980;0;22;08-06-2021
Hải Dương;873;1;0;08-06-2021
An Giang;484;47;4;08-06-2021
Trà Vinh;455;34;3;08-06-2021
Kiên Giang;404;17;2;08-06-2021
Ninh Thuận;336;0;0;08-06-2021
Sóc Trăng;322;0;2;08-06-2021
Quảng Ngãi;318;19;0;08-06-2021
Bình Định;307;0;4;08-06-2021
Quảng Nam;300;0;0;08-06-2021
Đắk Lắk;292;0;2;08-06-2021
Hậu Giang;259;0;0;08-06-2021
Hưng Yên;256;0;1;08-06-2021
Nghệ An;254;0;0;08-06-2021
Bình Phước;251;0;0;08-06-2021
Vĩnh Phúc;251;0;1;08-06-2021
Gia Lai;205;5;1;08-06-2021
Hà Tĩnh;182;14;0;08-06-2021
Thanh Hóa;137;2;1;08-06-2021
Thừa Thiên Huế;135;4;0;08-06-2021
Đắk Nông;114;4;0;08-06-2021
Lạng Sơn;104;2;0;08-06-2021
Bạc Liêu;104;0;0;08-06-2021
Quảng Ninh;101;0;0;08-06-2021
Thái Bình;86;0;0;08-06-2021
Lâm Đồng;81;0;0;08-06-2021
Ninh Bình;73;0;0;08-06-2021
Hà Nam;61;0;0;08-06-2021
Quảng Bình;59;4;0;08-06-2021
Điện Biên;51;0;0;08-06-2021
Cà Mau;45;0;0;08-06-2021
Sơn La;40;0;0;08-06-2021
Lào Cai;38;0;0;08-06-2021
Hoà Bình;36;2;1;08-06-2021
Hải Phòng;31;0;0;08-06-2021
Quảng Trị;28;2;0;08-06-2021
Nam Định;24;0;0;08-06-2021
Hà Giang;22;0;0;08-06-2021
Kon Tum;20;0;0;08-06-2021
